Fecha,Temp[C]
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,8
14-Jan-2021 11:06:15,NaN
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,18
14-Jan-2021 11:06:15,NaN
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,8
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,118
14-Jan-2021 11:06:15,NaN
14-Jan-2021 11:06:15,18
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,18
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,18
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,18
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,8
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:16,118
14-Jan-2021 11:06:17,118
14-Jan-2021 11:06:17,118
14-Jan-2021 11:06:17,118
14-Jan-2021 11:06:17,18
14-Jan-2021 11:06:17,118
14-Jan-2021 11:06:17,18
14-Jan-2021 11:06:17,118
14-Jan-2021 11:06:17,118
14-Jan-2021 11:06:17,118
14-Jan-2021 11:06:17,118
14-Jan-2021 11:06:17,118
14-Jan-2021 11:06:17,118
14-Jan-2021 11:06:17,118
14-Jan-2021 11:06:17,118
14-Jan-2021 11:06:17,118
14-Jan-2021 11:06:17,118
14-Jan-2021 11:06:17,118
14-Jan-2021 11:06:17,118
14-Jan-2021 11:06:17,118
14-Jan-2021 11:06:17,118
14-Jan-2021 11:06:17,118
14-Jan-2021 11:06:17,118
14-Jan-2021 11:06:17,119
14-Jan-2021 11:06:17,129
14-Jan-2021 11:06:17,145
14-Jan-2021 11:06:17,59
14-Jan-2021 11:06:17,89
14-Jan-2021 11:06:17,197
14-Jan-2021 11:06:18,206
14-Jan-2021 11:06:18,214
14-Jan-2021 11:06:18,224
14-Jan-2021 11:06:18,31
14-Jan-2021 11:06:18,240
14-Jan-2021 11:06:18,249
14-Jan-2021 11:06:18,258
14-Jan-2021 11:06:18,263
14-Jan-2021 11:06:18,268
14-Jan-2021 11:06:18,272
14-Jan-2021 11:06:18,276
14-Jan-2021 11:06:18,279
14-Jan-2021 11:06:18,282
14-Jan-2021 11:06:18,284
14-Jan-2021 11:06:18,286
14-Jan-2021 11:06:18,288
14-Jan-2021 11:06:18,291
14-Jan-2021 11:06:18,295
14-Jan-2021 11:06:18,NaN
14-Jan-2021 11:06:18,301
14-Jan-2021 11:06:18,303
14-Jan-2021 11:06:18,304
14-Jan-2021 11:06:18,306
14-Jan-2021 11:06:18,308
14-Jan-2021 11:06:18,310
14-Jan-2021 11:06:18,11
14-Jan-2021 11:06:18,313
14-Jan-2021 11:06:18,315
14-Jan-2021 11:06:18,317
14-Jan-2021 11:06:19,319
14-Jan-2021 11:06:19,320
14-Jan-2021 11:06:19,322
14-Jan-2021 11:06:19,324
14-Jan-2021 11:06:19,326
14-Jan-2021 11:06:19,328
14-Jan-2021 11:06:19,330
14-Jan-2021 11:06:19,332
14-Jan-2021 11:06:19,335
14-Jan-2021 11:06:19,338
14-Jan-2021 11:06:19,340
14-Jan-2021 11:06:19,342
14-Jan-2021 11:06:19,344
14-Jan-2021 11:06:19,345
14-Jan-2021 11:06:19,346
14-Jan-2021 11:06:19,348
14-Jan-2021 11:06:19,349
14-Jan-2021 11:06:19,350
14-Jan-2021 11:06:19,350
14-Jan-2021 11:06:19,51
14-Jan-2021 11:06:19,352
14-Jan-2021 11:06:19,52
14-Jan-2021 11:06:19,353
14-Jan-2021 11:06:19,354
14-Jan-2021 11:06:19,355
14-Jan-2021 11:06:19,355
14-Jan-2021 11:06:19,356
14-Jan-2021 11:06:19,356
14-Jan-2021 11:06:20,357
14-Jan-2021 11:06:20,358
14-Jan-2021 11:06:20,59
14-Jan-2021 11:06:20,359
14-Jan-2021 11:06:20,360
14-Jan-2021 11:06:20,360
14-Jan-2021 11:06:20,361
14-Jan-2021 11:06:20,362
14-Jan-2021 11:06:20,362
14-Jan-2021 11:06:20,362
14-Jan-2021 11:06:20,363
14-Jan-2021 11:06:20,363
14-Jan-2021 11:06:20,363
14-Jan-2021 11:06:20,364
14-Jan-2021 11:06:20,364
14-Jan-2021 11:06:20,365
14-Jan-2021 11:06:20,365
14-Jan-2021 11:06:20,365
14-Jan-2021 11:06:20,NaN
14-Jan-2021 11:06:20,66
14-Jan-2021 11:06:20,366
14-Jan-2021 11:06:20,366
14-Jan-2021 11:06:20,366
14-Jan-2021 11:06:20,367
14-Jan-2021 11:06:20,67
14-Jan-2021 11:06:20,367
14-Jan-2021 11:06:20,67
14-Jan-2021 11:06:20,367
14-Jan-2021 11:06:20,367
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,68
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,68
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,68
14-Jan-2021 11:06:21,368
14-Jan-2021 11:06:21,68
14-Jan-2021 11:06:21,367
14-Jan-2021 11:06:21,367
14-Jan-2021 11:06:22,367
14-Jan-2021 11:06:22,367
14-Jan-2021 11:06:22,367
14-Jan-2021 11:06:22,367
14-Jan-2021 11:06:22,367
14-Jan-2021 11:06:22,367
14-Jan-2021 11:06:22,367
14-Jan-2021 11:06:22,367
14-Jan-2021 11:06:22,367
14-Jan-2021 11:06:22,6
14-Jan-2021 11:06:22,366
14-Jan-2021 11:06:22,366
14-Jan-2021 11:06:22,366
14-Jan-2021 11:06:22,6
14-Jan-2021 11:06:22,366
14-Jan-2021 11:06:22,366
14-Jan-2021 11:06:22,365
14-Jan-2021 11:06:22,65
14-Jan-2021 11:06:22,365
14-Jan-2021 11:06:22,65
14-Jan-2021 11:06:22,365
14-Jan-2021 11:06:22,65
14-Jan-2021 11:06:22,364
14-Jan-2021 11:06:22,64
14-Jan-2021 11:06:22,364
14-Jan-2021 11:06:22,64
14-Jan-2021 11:06:22,364
14-Jan-2021 11:06:22,64
14-Jan-2021 11:06:23,363
14-Jan-2021 11:06:23,63
14-Jan-2021 11:06:23,363
14-Jan-2021 11:06:23,362
14-Jan-2021 11:06:23,362
14-Jan-2021 11:06:23,362
14-Jan-2021 11:06:23,362
14-Jan-2021 11:06:23,362
14-Jan-2021 11:06:23,361
14-Jan-2021 11:06:23,361
14-Jan-2021 11:06:23,361
14-Jan-2021 11:06:23,361
14-Jan-2021 11:06:23,360
14-Jan-2021 11:06:23,360
14-Jan-2021 11:06:23,360
14-Jan-2021 11:06:23,360
14-Jan-2021 11:06:23,NaN
14-Jan-2021 11:06:23,59
14-Jan-2021 11:06:23,359
14-Jan-2021 11:06:23,359
14-Jan-2021 11:06:23,358
14-Jan-2021 11:06:23,58
14-Jan-2021 11:06:23,358
14-Jan-2021 11:06:23,58
14-Jan-2021 11:06:23,357
14-Jan-2021 11:06:23,357
14-Jan-2021 11:06:23,356
14-Jan-2021 11:06:23,356
14-Jan-2021 11:06:23,355
14-Jan-2021 11:06:24,55
14-Jan-2021 11:06:24,355
14-Jan-2021 11:06:24,354
14-Jan-2021 11:06:24,354
14-Jan-2021 11:06:24,353
14-Jan-2021 11:06:24,353
14-Jan-2021 11:06:24,353
14-Jan-2021 11:06:24,352
14-Jan-2021 11:06:24,352
14-Jan-2021 11:06:24,351
14-Jan-2021 11:06:24,351
14-Jan-2021 11:06:24,350
14-Jan-2021 11:06:24,350
14-Jan-2021 11:06:24,350
14-Jan-2021 11:06:24,349
14-Jan-2021 11:06:24,349
14-Jan-2021 11:06:24,348
14-Jan-2021 11:06:24,348
14-Jan-2021 11:06:24,47
14-Jan-2021 11:06:24,347
14-Jan-2021 11:06:24,46
14-Jan-2021 11:06:24,346
14-Jan-2021 11:06:24,46
14-Jan-2021 11:06:24,345
14-Jan-2021 11:06:24,345
14-Jan-2021 11:06:24,345
14-Jan-2021 11:06:24,44
14-Jan-2021 11:06:24,344
14-Jan-2021 11:06:25,343
14-Jan-2021 11:06:25,343
14-Jan-2021 11:06:25,342
14-Jan-2021 11:06:25,342
14-Jan-2021 11:06:25,342
14-Jan-2021 11:06:25,341
14-Jan-2021 11:06:25,341
14-Jan-2021 11:06:25,340
14-Jan-2021 11:06:25,340
14-Jan-2021 11:06:25,339
14-Jan-2021 11:06:25,339
14-Jan-2021 11:06:25,338
14-Jan-2021 11:06:25,338
14-Jan-2021 11:06:25,338
14-Jan-2021 11:06:25,37
14-Jan-2021 11:06:25,337
14-Jan-2021 11:06:25,336
14-Jan-2021 11:06:25,336
14-Jan-2021 11:06:25,336
14-Jan-2021 11:06:25,335
14-Jan-2021 11:06:25,35
14-Jan-2021 11:06:25,334
14-Jan-2021 11:06:25,34
14-Jan-2021 11:06:25,333
14-Jan-2021 11:06:25,33
14-Jan-2021 11:06:25,332
14-Jan-2021 11:06:25,332
14-Jan-2021 11:06:25,332
14-Jan-2021 11:06:26,331
14-Jan-2021 11:06:26,331
14-Jan-2021 11:06:26,330
14-Jan-2021 11:06:26,330
14-Jan-2021 11:06:26,329
14-Jan-2021 11:06:26,329
14-Jan-2021 11:06:26,329
14-Jan-2021 11:06:26,328
14-Jan-2021 11:06:26,328
14-Jan-2021 11:06:26,327
14-Jan-2021 11:06:26,327
14-Jan-2021 11:06:26,6
14-Jan-2021 11:06:26,326
14-Jan-2021 11:06:26,325
14-Jan-2021 11:06:26,NaN
14-Jan-2021 11:06:26,325
14-Jan-2021 11:06:26,324
14-Jan-2021 11:06:26,323
14-Jan-2021 11:06:26,323
14-Jan-2021 11:06:26,322
14-Jan-2021 11:06:26,322
14-Jan-2021 11:06:26,22
14-Jan-2021 11:06:26,321
14-Jan-2021 11:06:26,320
14-Jan-2021 11:06:26,320
14-Jan-2021 11:06:26,319
14-Jan-2021 11:06:26,319
14-Jan-2021 11:06:26,319
14-Jan-2021 11:06:26,318
14-Jan-2021 11:06:27,318
14-Jan-2021 11:06:27,317
14-Jan-2021 11:06:27,317
14-Jan-2021 11:06:27,6
14-Jan-2021 11:06:27,316
14-Jan-2021 11:06:27,315
14-Jan-2021 11:06:27,315
14-Jan-2021 11:06:27,314
14-Jan-2021 11:06:27,314
14-Jan-2021 11:06:27,313
14-Jan-2021 11:06:27,313
14-Jan-2021 11:06:27,313
14-Jan-2021 11:06:27,312
14-Jan-2021 11:06:27,12
14-Jan-2021 11:06:27,311
14-Jan-2021 11:06:27,311
14-Jan-2021 11:06:27,310
14-Jan-2021 11:06:27,310
14-Jan-2021 11:06:27,309
14-Jan-2021 11:06:27,309
14-Jan-2021 11:06:27,NaN
14-Jan-2021 11:06:27,8
14-Jan-2021 11:06:27,NaN
14-Jan-2021 11:06:27,7
14-Jan-2021 11:06:27,307
14-Jan-2021 11:06:27,6
14-Jan-2021 11:06:27,306
14-Jan-2021 11:06:27,305
14-Jan-2021 11:06:28,305
14-Jan-2021 11:06:28,304
14-Jan-2021 11:06:28,304
14-Jan-2021 11:06:28,304
14-Jan-2021 11:06:28,303
14-Jan-2021 11:06:28,303
14-Jan-2021 11:06:28,302
14-Jan-2021 11:06:28,302
14-Jan-2021 11:06:28,302
14-Jan-2021 11:06:28,301
14-Jan-2021 11:06:28,301
14-Jan-2021 11:06:28,300
14-Jan-2021 11:06:28,300
14-Jan-2021 11:06:28,299
14-Jan-2021 11:06:28,299
14-Jan-2021 11:06:28,298
14-Jan-2021 11:06:28,298
14-Jan-2021 11:06:28,297
14-Jan-2021 11:06:28,297
14-Jan-2021 11:06:28,297
14-Jan-2021 11:06:28,296
14-Jan-2021 11:06:28,296
14-Jan-2021 11:06:28,295
14-Jan-2021 11:06:28,295
14-Jan-2021 11:06:28,95
14-Jan-2021 11:06:28,294
14-Jan-2021 11:06:28,294
14-Jan-2021 11:06:28,293
14-Jan-2021 11:06:29,293
14-Jan-2021 11:06:29,3
14-Jan-2021 11:06:29,292
14-Jan-2021 11:06:29,292
14-Jan-2021 11:06:29,291
14-Jan-2021 11:06:29,291
14-Jan-2021 11:06:29,290
14-Jan-2021 11:06:29,290
14-Jan-2021 11:06:29,290
14-Jan-2021 11:06:29,289
14-Jan-2021 11:06:29,289
14-Jan-2021 11:06:29,289
14-Jan-2021 11:06:29,288
14-Jan-2021 11:06:29,88
14-Jan-2021 11:06:29,288
14-Jan-2021 11:06:29,87
14-Jan-2021 11:06:29,287
14-Jan-2021 11:06:29,87
14-Jan-2021 11:06:29,286
